,2008,2009,2010,2011,2012,2013,2014
Fidelidad,0.005699999999999999,0.0054,0.0049,0.0042,0.0044,0.0053,0.0074
Individuales,0.0073,0.0070999999999999995,0.006500000000000001,0.0055000000000000005,0.005699999999999999,0.008,0.0108
Colectivo,0.0028000000000000004,0.0031,0.0034000000000000002,0.0034999999999999996,0.0037,0.0036,0.0048
Judiciales,0.0064,0.006500000000000001,0.0011,0.0008,0.0006,0.0006,0.0006
Penales,0.1231,0.0535,0.0073,0.0054,0.0033,0.0033,0.0028000000000000004
No Penales,0.001,0.001,0.0005,0.0006,0.0005,0.0003,0.0003
Que amparen a los conductores de vehículos automotores,0.0,0.0,0.0,0.0,0.0,0.0001,0.0001
Administrativas,0.0006,0.0008,0.0014000000000000002,0.0013,0.0011,0.0011,0.0026
De Obra,0.0005,0.0004,0.0008,0.0012,0.0012,0.0017000000000000001,0.004
De proveeduria,0.0009,0.0013,0.0034000000000000002,0.0033,0.0015,0.0004,0.0006
Fiscales,0.0031,0.003,0.0021,0.0005,0.0005,0.0005,0.0014000000000000002
De arrendamiento,0.0025,0.0039000000000000003,0.0042,0.0074,0.0077,0.0003,0.0004
Otras Fianzas Administrativas,0.0005,0.0086,0.009399999999999999,0.0046,0.0003,0.0004,0.0003
Crédito,0.010700000000000001,0.0137,0.011699999999999999,0.0083,0.0039000000000000003,0.0040999999999999995,0.0073
De suministro,0.010700000000000001,0.013999999999999999,0.012,0.0085,0.0040999999999999995,0.0043,0.008
De compraventa,0.0355,0.037200000000000004,0.0001,0.0,0.0,0.0016,0.0018
Financieras,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otras Fianzas de Credito,0.0,0.0,0.0,0.0,0.0,0.0,0.0
